comment,language,sentiment
item is legit matagal lang dumating,Filipino,positive
hindi fit sa small pulley rod stock,Filipino,negative
according to the cover the material is not expensive the material is suitable for the logistics price which is a bit slow to pack as i have tested,English,positive
the item did not match the order the one sent was bh 59,English,negative
thumbs up,English,positive
usage not used yet received the product successfully the package has been completed received the complete product according to the order wait for about 7 days,English,positive
wrong color i ordered gold but they sent me color black,English,negative
sealed bearings are easy to rotate but not very slippery,English,positive
youre welcome and thanks for the safe custody details and ill have an update in my community about my new job and the development team i worked with i hope to work outside with my smartphone as well to help contextualize the process of becoming attuned,English,negative
the rider is rude and he add me 10 pesos on the item,English,negative
it makes a weird sound but at least it serve its purpose,English,negative
cheap but quality different brands have different brands,English,positive
1star para sayo seller mali yung color ng crank bolts mo eh,Filipino,negative
seller continues to ship out even i already requested a cancellation,English,negative
bulok yung sa prize 408 naging 458 wag na kayo umorder kung ako sainyo,Filipino,negative
do not buy this the torque wrench did not come calibrate properly,English,negative
the torque wrench doesnt work no clicking sound unsatisfied,English,negative
maganda siya akala ko defective dahil dun sa shifter hindi humahatak yun pala normal lang yun pag hindi pa naka install sa bike walang box pero ayus naman packaging salamat sa seller mabilis deliver kht pre order,Filipino,positive
it really looks like it doesnt fit the frame so when you buy it you have to sharpen it to sew it its quite similar so grind it a little bit the screws are the same just put it in then use,English,negative
hindi sure kung magandang klase sya hindi ko pa nakakabit sana ok naman matagal nga lang dumating,Filipino,negative
thought it was cnc aluminum but it turned out to be molded aluminum like other shops and 30 more expensive than other shops this shop handled the color and bought the wrong type so im not happy,English,negative
ganda kaso antagal ng shipping,Filipino,positive
its not compatible,English,negative
talo sa seller 2 pairs ang order ko 1 pair lng dumating wag kayo umorder dto sa ibang seller n lng kayo bumili,Filipino,negative
matagal lang dumating pero legit naman panalo thank you seller,Filipino,positive
my daughter recieve not complete package its only shifter,English,negative
the product i ordered is a semi metal bicycle brake pad beautiful job but unfortunately ordered the wrong size a bit missed had to press a new one,English,positive
incomplete items,English,negative
item okay shipping and delivery time very poor,English,positive
ok na man sya pero mali nabili ko dahil malaki dapat yung m18,Filipino,positive
great product its just not making up for the delay in delivery the product to curitiba takes 15 days there more 15 days to my total address almost 40 days,English,negative
maganda ang item kaso matagal ang delivery pero lang my pandemic kaso thank you shopee,Filipino,positive
items arrive late,English,negative
ok ung item kaso kulang ng isang object isang screw na mag tutulak or mag adjust sa rd,Filipino,negative
hindi maganda ang item na ito mabilis ma loose thread,English,negative
i was expecting that there were 2 bolts includedbut only 1 by the way it looks like will last longer,English,negative
the saddle seems quiet but a bit short,English,negative
quick dispatch for overseas enjoying the product comfort level definitely higher than my previous saddle saddle looks unused but the underside has scuff marks showing it must have been attached to a seat post at some point also the packaging was meagre not well protected which surprised me the item could easily get damaged in transit unfortunately cant quite rate this one 5s because of those shortcomings if half stars were and option id give it a solid 45,English,positive
ordered and cannot be put together with the original that is missing light and soft should be comfortable to sit ill try to order more than a week first so that we can get together for a while the staff sent the call first neat polite thank you very much,English,negative
items look havent installed yet hope they work fine but delivery is quite slow,English,positive
maganda sana kaso rong size ako malaki pala dapat m19 lang sayang hahhaha,Filipino,positive
gosh i am not sure if you have any questions or concerns please visit the plugin settings to determine,English,negative
di nya kaya yung 10speed 1142 na cogs sabi sa description kaya ang 42t na cogs sumasabit sa cogs yung rd,Filipino,negative
lacking 2 knots lacking,English,negative
matagal pero solid,Filipino,positive
masyadong maiksi at maliit sukat ng saddle hnd rin firm pagkakagawa ng cover mejo matagal dumating,Filipino,negative
loose,Mixed/Other,negative
you said 1 pair its a bad experience,English,negative
wala palng kasama na pang lock,Filipino,negative
wrong item sent but still works,English,negative
items arrived safely and beautifully and satisfied its just that the holder is hard to draw with the bottle i only use the original holder,English,positive
wag na kau bibili sira ang item hindi gumagana,Filipino,negative
maganda sna maluwag lang,Filipino,positive
too tight,English,negative
order took 13 days to deliver,English,negative
no back pedal issue smooth riding performance,English,negative
the product is a bit hard to use,English,negative
product exactly as described shipped from china not waiting for a long time,English,positive
yes but the frame goes quickly where the squirrel will easily fall off so buy a new frame,English,negative
tagal dumating,Filipino,negative
maganda pero matagal dumating,Filipino,positive
the seat is not as comfortable as the seat according to the car,English,negative
items are in great shape as expected seller and for taking care of my orders you make my day well done this is for you all creatures gcourierreat and small all things wise and wonderful twas god that made them all each little flower that opens each little bird that sings he made their glowing colors and made their tiny wings all things bright and beautiful all creatures great and small all things wise and wonderful twas god that made them all thank you,English,positive
legit salamat shoppee hehe matagal ngalang ung deliver pero sulit tas may minimal scratch lang pero no problems,Mixed/Other,positive
ok this water bottle set with a very die tread its hard to fall or fall off the die bottle holder if you use another bottle its easy to fall off and fall,English,negative
ok ung item ang concern ko lang ang tagal bago pinaship ng seller hanap na lang kayo ng ibang seller wag na kayo dito bumili,Filipino,negative
hindi ko pa siya nabubuksan sana ok siya tama na 3 stars,Filipino,negative
ayaw mag shift sayang lang pera nyo pag binili nyo,Filipino,negative
usage missing but the scale on the bike holder shipping arrived ok well packed and safe,English,positive
legit item but the shifter and rd are not compatible because the shifter have 21 pull ratio technology and it seems durable and my 46t cassette i think it can like the seller said but with a goatlink,English,negative
poor performance delayed in shifting from low to high gearsometimes not shift if you will not trigger again the shifter even if cable adjusted for fine tuneits hard to perfectly tune the rd especially in 3x9 set up,English,negative
temporarily,English,negative
walang box kaya napaisip ako baka fake to or oem copy etc next month na yung performance review,English,negative
2nd order the 1st one got lost on trail haha,English,positive
wish there was more bubble wrap for protection,English,positive
quality thin,English,negative
may scratches and not packed well,Filipino,negative
shit,English,negative
daming gasgas ang lalalim pa otherwise ok naman,Filipino,negative
okay nmn kaso hindi naka pack nang maayos,Filipino,positive
solid kaso may sharkteeth yung 11t,Filipino,negative
wrong seatpost,English,negative
meron naman space nung nilagay ko normal lang ba ito,Filipino,positive
ganda sana item kaso 286 pala kailangan ko hnd 398,Filipino,positive
ok thats right so buying reviews is only for receiving coins,English,negative
its ok medyo matagal dumating,Filipino,positive
too much already,English,negative
incomplete without clip,English,negative
wala pinadala,Filipino,positive
performance so good,English,negative
paling yung tread sa lever,Filipino,negative
poor packaging too many scratches,English,negative
okay with products except the retainer spring clip cannot be pushed into the brake pads slot due to loose spring tension fast delivery,English,negative
suitability hindi siya pwede sa 1142 na cogs kasi di siya nakakaabot sa malalaking cogs mga 6 speed lng abot abot niya sa 1142 na cogs need drop out para maka abot,Mixed/Other,negative
its very hard to install to my mtb very hard to tune the rd is not aligned properly the shifter is ok the rd is the problem,English,negative
i am giving these ratings simply because i am comparing it with the stock saddle on my bike using this the difference is night and day bought it cheaper because of the vouchers,English,negative
not satisfied with the product because it was damaged,English,negative
wrong size,English,negative
maganda po sana quality pero ang isa ay wala pong lock yung rd sana po ma aksyonan nyo to,Filipino,negative
havent try yet ill update here once i tested it,English,negative
the product is quite solid but the finish is not high the welding and rough paint look messy,English,negative
low bat need recharge,English,negative
sprocket received wrong buy as stale x pki freehub its my own fault when i asked the seller x pela will sell to friends later cheap brg seems to have quality thank you,English,negative
item has been received already complete as advertised unfortunately there is no user manual,English,negative
usage its a pity that a very large nut is required to be able to tighten it is rare need to modify a lot delivered safely and completely safe,English,negative
lugi sa cogs remover ibang brand,Filipino,negative
hindi po straight yung align ng rd po tumabenge konti,Filipino,negative
napakatagal ng delivery,Filipino,negative
sulit pero matgak dumating,Filipino,negative
suitability not yet installed,English,negative
difficult to reach 42teeth,English,negative
ang tagal ng spx currier dumating unlike jnt express,Filipino,negative
quality is very nice,Mixed/Other,negative
okay naman pero medyo maikli ung tela sa leeg banda,Filipino,negative
so ayun dumating nadin yung inorder kung galing sa shop nato matagal nga lang tpz nung ng chat ako sa seller hinde pa sumasagot pero okay na haha thank you nang marami pati doon sa rider god bless,Filipino,positive
performance hindi pa na subukan,English,negative
okay sya matagal lang dumating,Filipino,positive
waste of time and money,English,negative
material and teflon plastic even the wheels put it in place and test to see if it works anything ill come back here,English,negative
hindi kaya ang 40t na cogs,Filipino,negative
wrong color has been delivered,English,negative
medyo matagal pero oks nman yun item thanks,Mixed/Other,negative
full face quite short for me,English,negative
shifter is not working,English,negative
its ixf bottom bracket its a scam in description they say its a meroca bottom bracket,English,negative
sayang 240 i ordered 4 pieces of pulley isa lang dumating duda pa si seller,Filipino,negative
and then ill be back to you get her stuff and i just as your friend is so can get her to me a little bit more time to do it for me and then you have the right thing and she has been in my room so ill see if she is in a hurry to be there so she is just saying she wants a friend for a little,English,negative
wrong items,English,negative
ang tagal dumating,Filipino,negative
performance for observation,English,negative
tagal lang dumating,Filipino,negative
hindi nga lang kaya sa pinaka malaki sayad na siya sa crogs,Filipino,negative
the bike chain broke after just one week of use,English,negative
the pedals feel cheap and started squeaking within days,English,negative
the brake pads wore out way too quickly not durable at all,English,negative
the bike seat is extremely uncomfortable even on short rides,English,negative
the handlebar grips fell apart after just a few rides,English,negative
these tires puncture so easily theyre completely unreliable,English,negative
the water bottle holder is flimsy and doesnt hold the bottle securely,English,negative
the suspension on this bike is terrible it makes for a very rough ride,English,negative
the bike light stopped working after a few uses its useless,English,negative
the gear shifter is not smooth at all very frustrating to use,English,negative
the frame paint chipped off within the first month,English,negative
the saddlebag tore after only a few uses terrible quality,English,negative
the helmet strap broke after minimal use not safe,English,negative
the bike pump doesnt fit properly and barely works,English,negative
the kickstand is unstable and the bike keeps falling over,English,negative
the tires are constantly going flat its such a hassle,English,negative
the rear rack cant handle much weight it bends easily,English,negative
the bell stopped ringing after a couple of days,English,negative
the fenders dont keep the water off theyre practically useless,English,negative
the chainring is misaligned and causes constant chain slips,English,negative
the bike grips are uncomfortable and leave my hands sore,English,negative
the crankset is poorly designed and makes pedaling difficult,English,negative
the derailleur is always out of alignment shifting is a nightmare,English,negative
the front wheel wobbles after just a short time riding,English,negative
the rear reflector fell off during the first ride,English,negative
the bike lock is too weak doesnt provide any real security,English,negative
the bike pedals are too small and my feet keep slipping off,English,negative
the tire valve is faulty and causes air leaks,English,negative
the mudguards dont fit properly and make a lot of noise,English,negative
the bike basket fell apart after minimal use,English,negative
the brake lever feels cheap and uncomfortable to use,English,negative
the chain gets rusted too easily even after short exposure to water,English,negative
the handlebar tape wears out very quickly,English,negative
the seat post keeps slipping down during rides,English,negative
the bike rack scratches the car every time i use it,English,negative
the bottom bracket is noisy and hard to replace,English,negative
the reflector tape is barely visible at night,English,negative
the bike horn is too quiet its practically useless,English,negative
the tire pump nozzle doesnt fit well and leaks air,English,negative
the grip shift is too stiff very hard to change gears,English,negative
the frame welds look weak and poorly done,English,negative
the inner tubes are too thin and prone to punctures,English,negative
the front suspension lockout doesnt work at all,English,negative
the saddle is far too stiff and painful for long rides,English,negative
the bike light mount broke the first time i installed it,English,negative
the pedals are slippery even with proper cycling shoes,English,negative
the bike rack straps are too short cant secure anything properly,English,negative
the cleats on the cycling shoes dont stay locked into the pedals,English,negative
the front brake cable snapped within the first month,English,negative
the tire levers are weak and bend easily when changing tires,English,negative
the bike stand is too short and barely supports the bike,English,negative
the bell is cheaply made and broke after just a few uses,English,negative
the brake calipers dont line up with the rim correctly,English,negative
the seat clamp is weak and doesnt hold the seat in place,English,negative
the wheel spokes loosen far too easily and need constant tightening,English,negative
the water bottle cage doesnt hold bottles tightly they fall out,English,negative
the derailleur hanger is bent and keeps affecting my gear changes,English,negative
the saddle rails creak every time i pedal,English,negative
the bike pump is so slow it takes forever to inflate a tire,English,negative
the reflector mount doesnt fit properly on my seat post,English,negative
the chainring teeth are too sharp and cut into my shoes,English,negative
the saddle bag zipper broke after a few uses,English,negative
the shifters are too far from the handlebar uncomfortable to reach,English,negative
the helmet visor fell off after the first ride,English,negative
the bike computer doesnt sync properly with the sensors,English,negative
the rear shock absorber leaks oil making it useless,English,negative
the handlebar extender is unstable and wobbles during rides,English,negative
the chain falls off constantly making rides frustrating,English,negative
the bike fenders are misaligned and rub against the tires,English,negative
the pedals feel loose and unsafe to use,English,negative
the seat cover tore within a few days of use,English,negative
the brake cables are too short and difficult to replace,English,negative
the spokes on the rear wheel keep breaking,English,negative
the brake pads make a loud screeching sound every time i stop,English,negative
the chainring bolts loosened after just a few rides,English,negative
the bike lock mechanism is too stiff and hard to open,English,negative
the bar tape is too thin and offers no comfort during long rides,English,negative
the handlebar bag doesnt sit properly and keeps slipping,English,negative
the rear light mount broke after just a few rides,English,negative
the front derailleur doesnt shift smoothly causing the chain to drop,English,negative
the gear cables keep stretching and need constant adjustments,English,negative
the cycling shoes are uncomfortable and cause blisters,English,negative
the disc brake rotors warp too easily leading to uneven braking,English,negative
the saddlebag straps are too short and dont secure properly,English,negative
the kickstand is too flimsy to support the weight of the bike,English,negative
the chain tensioner broke after only a few weeks,English,negative
the headset bearings are already grinding after a few rides,English,negative
the crank arms are too long and hit the ground when i turn,English,negative
the frame geometry is uncomfortable for long rides,English,negative
the chain guard doesnt protect the chain properly and always gets jammed,English,negative
the pannier rack is too narrow and doesnt hold standard bags,English,negative
the quickrelease lever on the seat post is hard to operate,English,negative
the brake rotors overheat quickly and lose stopping power,English,negative
the inner tube valves are too short to fit my pump properly,English,negative
the chainring size is too small making pedaling inefficient,English,negative
the pedals make a creaking noise with every stroke,English,negative
the rear derailleur keeps bouncing around and hitting the frame,English,negative
the grips are too thin and cause hand fatigue on long rides,English,negative
the tire patch kit doesnt work well and leaks air after patching,English,negative
the bike frame is too heavy for its size and design,English,negative
the bottle cage bolts stripped out of the frame,English,negative
the derailleur hanger is weak and bent after a small crash,English,negative
the front fork doesnt compress smoothly feels rough,English,negative
the brake cables fray easily and are hard to thread through the housing,English,negative
the bike tires are not balanced and cause a bumpy ride,English,negative
the derailleur cage is too long and drags on the ground,English,negative
the brake fluid leaks and reduces the brake power,English,negative
the frame has poor finish quality with visible scratches,English,negative
the crankset makes a clicking noise every time i pedal,English,negative
the chain skips under load making the ride uncomfortable,English,negative
the seatpost collar doesnt clamp tight enough causing the seat to drop,English,negative
the wheels are out of true straight from the factory,English,negative
the bottom bracket bearings are noisy and need replacing often,English,negative
the saddle feels like its made of rock its that uncomfortable,English,negative
the chainring bolts keep coming loose during rides,English,negative
the fender stays are too short and dont fit my bike properly,English,negative
the crankset arms feel too short making pedaling awkward,English,negative
